views_change,likes,dislikes,comment_count,views,publish_time
9909,1159,19,104,31228,267
2506999,192698,10617,25712,5986604,259
273489,20522,2674,4322,1025006,261
593571,17659,618,3275,725421,263
520318,62089,1061,4391,889056,266
11992,1835,175,140,83499,266
252384,9401,114,357,241476,268
288809,10936,434,441,355153,260
234201,20974,3382,2775,1063356,262
416763,13606,440,2654,386697,262
1190,64,31,27,14459,284
66883,29947,133,1606,204083,264
714,621,173,97,55615,273
205162,8909,255,675,241661,266
101981403,248867,2097,21392,4795193,269
7686891,65815,5212,6688,2824423,257
11972798,199176,19668,11483,5179783,260
3843010,381809,963,23925,2997335,260
222012,15082,475,1002,457181,262
140153,5878,425,1630,108662,262
719149,7814,193,524,481918,263
26359,676,9,56,26735,264
34452,6563,137,348,134436,267
50223,398,6,83,99066,1546
10469,752,272,260,68886,268
15853935,1402578,1674420,1361580,37539570,256
947876,33039,1491,2035,1277105,257
38437,3064,38,279,53006,257
10205,239,19,61,9560,267
1910021,6239,710,568,1603502,263
275117,20606,644,2001,855708,263
691143,56657,1225,3476,776332,264
239479,11899,510,833,223245,267
424630587,1919583,73239,133601,57951412,254
538668,23638,505,1671,774407,256
10386,2813,280,1423,93217,256
1328658,25901,2590,2883,2510144,260
317295,58618,1639,5997,1005215,260
592951,16471,3259,2221,1397713,262
1505574,40782,1469,999,1452367,262
3888,42,1,8,13701,1935
25302,334,23,21,28484,264
5062227,83603,1225,3736,2588376,255
350,309,17,203,8493,254
207615,18257,973,1459,900285,257
169525,267,331,219,60697,266
349095,328,27,22,122059,258
55569,7015,224,365,220550,259
1611450,19173,16105,4335,1593449,263
47353990,293244,61447,32777,18871288,253
37294,5293,517,463,249264,254
645368,42326,728,3968,531566,254
147127,1140,9,95,59596,254
5920620,83380,619,4452,1120978,255
10182,31,1,3,8493,255
2259,2,0,0,4035,261
37972,5820,51,208,73253,257
10520,85,5,11,8232,259
3064567,326557,2372,137991,3963050,260
16258,12793,1877,1659,560358,252
1268484,10005,413,852,297209,253
2226798,59416,1201,8529,2620061,255
6745862,1836,216,673,3689210,255
124296,257,2,33,40775,254
4800,73,2,1,21175,1782
341002,18269,1223,3276,673301,253
8022,1472,436,913,243553,254
2565642,57080,2603,3617,1516733,254
113730,3665,62,332,85744,254
100070,83454,761,4681,1044905,256
273054,0,0,5286,1216232,257
2070975,142149,66251,26770,8159690,250
598195,8909,323,4117,1124072,250
464,210,83,544,36241,251
1510829,26744,8723,8281,1237339,253
93775,447,65,83,64261,253
4107,46,10,24,34133,252
19027,93,17,21,29968,254
864949,5926,62,507,132029,254
320629,7237,98,1707,323160,257
1889086,227180,8210,11775,6450575,247
726813,1462,1214,759,305833,248
158734,29493,2378,19853,2949050,249
201775,28906,381,1857,483009,248
10638,1997,30,174,68719,247
259955,2046,184,0,258887,249
3020266,5054,694,498,490636,250
257318,17167,1445,2043,937309,250
344015,3131,92,285,91186,251
211840,19876,294,2889,481550,252
127031612,1844959,102849,148768,45141770,246
30014782,498384,10734,39803,8335017,247
21030,1737,218,1076,156114,247
10348,7585,581,0,247280,248
2662037,43831,676,4071,1873164,248
1052502,123524,1029,11970,1381198,249
71991,7906,2069,544,406703,248
223452,6646,121,301,155126,248
1386853,670,28,51,79667,249
700529,8502,332,653,326110,249
2054381,96594,2338,25772,1776291,245
141131,11584,231,1657,213433,246
166589,43096,615,2447,1266647,247
435982,8338,1786,3867,1176559,247
57303,2931,244,473,386062,247
2194534,31167,83,1624,270838,246
858,30,1,1,3319,1765
21981,4785,256,611,72294,248
109743,32769,2517,4393,2288090,243
173884,18712,332,1344,430191,245
1913179,25639,4595,4981,1480442,246
20545204,421533,2434,34274,3935638,245
22127302,100045,1741,3012,2504920,247
887641,80554,908,6583,1143211,247
4572759,196113,1657,37915,2032507,248
91695,5956,161,934,135263,247
6576,8,1,1,5013,262
1100784,1085,22,98,287615,249
7262,628,177,217,180184,243
537808,56147,1434,6657,1099145,245
89447,4377,163,625,122396,245
1576452,16597,500,1935,379054,247
781239,53915,2368,2993,1088653,247
3671641,13180,294,626,299897,247
1069635,10018,136,444,386090,249
266147,43802,3771,0,5755949,241
1430579,14112,289,813,499527,242
1073790,32196,3803,3437,4297582,244
1255,41,17,229,10836,242
38088,5269,1612,6166,624237,245
34212,1315,395,247,150617,246
504057,97889,4461,29554,3224847,247
2160714,11808,418,828,2839406,248
1670234,17462,2144,1797,1049536,248
225339,36440,268,1214,437193,241
6425,883,496,566,136788,242
1915,365,64,204,22768,574
343984,6336,84,464,123372,242
500864,2166,117,306,777617,244
152895,4138,33,298,64584,243
13178,621,2,45,114105,3282
3044020,43585,676,7838,1604697,246
11878663,148529,1844,7272,2034980,246
10088466,481888,5621,19790,11188382,240
912261,9789,118,837,300715,240
2918063,32986,2012,8165,1426321,241
46220,280,15,68,54338,241
73560,8833,194,5592,277651,241
71782,528,104,141,60092,242
33646,2157,134,624,53227,241
99503,3689,454,1604,1173312,244
1449271,14061,699,818,648890,244
1149437,129154,12466,38382,3922298,239
134757,18388,27497,6082,1357946,240
72338,12960,298,1120,223433,239
196840,4173,222,276,110338,239
502202,96477,5226,60276,1503192,241
1855594,165214,2945,13292,2277907,242
243301,4866,52,362,75289,241
11757,6303,331,795,171518,242
133783,14075,1194,1597,655073,243
9788,3409,87,875,78344,242
13761807,386330,4899,80500,7797284,238
2994373,13928,5161,5000,724556,240
206343717,559289,18294,28940,16219716,241
498272,30624,270,2065,458155,239
1854858,66758,2054,7572,3020358,242
262833,9466,106,706,140445,241
2901256,56187,4960,3542,1940700,243
323874,6877,219,1538,221336,242
154953,5580,115,334,219805,243
4967348,220891,3665,50778,3770744,237
58001,2279,213,427,217531,238
69723,15235,1023,1617,1258994,240
17524,2532,99,1030,343957,239
1132172,7063,279,893,509173,240
31006104,357641,8055,22591,7964424,240
67522,22148,683,2633,368276,241
12593,109,13,22,11685,240
2689431,103,43,13,527093,241
823836,20911,539,4762,1037921,243
729469,62005,3224,4284,1915926,236
109059,5413,201,375,683434,236
1398,326,315,447,18280,236
236830,7548,49,129,294003,239
3318,2456,191,734,156712,1505
9569,11226,167,388,355279,239
12132,148,7,17,7399,239
632837,20222,5164,8678,1612824,235
358085,19998,483,5534,616440,236
33763,1128,40,238,47299,236
3639633,93450,8388,15108,3748683,239
8300,888,833,0,44121,237
1168479,18464,1054,1672,597049,240
282786,160,16,85,61309,239
5504754,1988746,497847,658130,24286474,234
486915,1906,50,143,138674,234
3657473,62409,2733,4021,1996355,236
3581,2168,906,1101,213764,237
715413,43060,3716,5722,1629599,238
4477593,207832,19422,12360,7965486,239
17155319,147484,4734,9355,4012204,240
2754,148,116,69,9846,239
239399174,247709,8609,13399,15043210,233
7063403,72979,6069,12587,7227939,234
6779739,99337,2915,8278,3343908,234
1146942,8472,154,324,392119,234
31553,1130,113,264,72607,234
403034,25002,2568,4254,1030347,236
416521,35791,10773,7688,3447677,237
20600478,146588,2443,14883,4253449,237
5939,126,1,8,4233,236
3293,29,0,4,4253,243
88169113,655664,124281,82853,25142629,232
352623,31443,1068,2036,1390497,233
54232,19422,902,223,790794,231
23749,171,45,339,112160,232
3596964,172597,1286,47828,2326176,234
187804,7301,940,3459,1257486,235
13209,381,12,47,12168,233
91079,2629,276,584,215775,236
1378444,3470,467,310,642382,236
980131,49981,2818,20286,1380940,231
144170,1357,5089,2430,376194,231
72581,15591,300,678,294356,232
150649,61134,774,10295,902928,233
64699,1263,99,571,155341,234
134082,20169,80,2799,160409,234
75251013,1017919,15066,51282,29090799,236
597630,3241,225,141,189814,235
30690,13738,539,1101,473593,237
51529,630,232,237,108402,236
359322,124632,2778,7456,1542531,232
1391087,203911,6282,47173,3100935,232
1108112,13388,262,518,357299,232
256767,116122,611,9191,810444,233
9684,272,34,110,26668,233
1973390,66539,771,11284,952677,234
1749157,6918,68,166,226278,234
15892,3154,90,1353,93591,234
438229,24632,558,2517,281875,236
55097289,62112,8151,4086,5578495,229
2425825,81225,10783,19533,2900057,231
9256708,218247,5076,22179,4416051,232
576014,4266,5624,2570,804049,232
188169,34034,432,3730,590393,233
275922,9726,292,1058,313187,233
2772564,4249,127,236,235020,234
7006761,284040,5096,24559,8842980,228
159472,5400,1660,1428,976652,229
2422504,5424,292,394,1122381,229
511847,9817,310,1775,298322,231
355201,8902,639,1456,462151,231
179369,1246,17,61,45037,232
45884,1891,57,447,123828,233
72745,9687,3131,6439,704424,227
24544983,25114,764,1467,996503,229
362168,6506,202,279,313962,229
395470,2613,341,706,236079,228
203958,21279,808,1655,642523,231
2530202,69586,1142,4034,1757705,232
570010,58882,431,3951,475702,232
1480700,31631,185,2099,568702,232
162469747,495588,4943,57467,8876920,233
541353,50489,1490,3259,1287432,226
2170298,7155,233,1324,374226,227
424348,14933,208,834,392115,227
135798,1193,51,142,474318,227
255271,1905,32,101,113584,228
229094,25869,402,6378,451921,228
953827,56291,6964,12326,5398142,230
844,7,0,0,2606,229
1208713,36647,1647,15710,904555,231
683017,17874,257,1831,398058,231
103645,5005,171,1449,231513,225
216535,11372,178,987,235853,225
343791,18690,586,2576,392184,227
9731,3349,139,698,78175,226
47998,15554,195,1109,250852,227
222293,20829,536,1584,366652,229
22961,1126,59,3,58290,227
1250,50,1,5,5251,228
2906,178,8,160,11445,229
1593329,7778,245,506,316756,225
774585,9594,5430,2399,336117,225
92864,479,55,313,496633,226
2483,1217,78,115,32558,226
351964,12224,326,680,699104,227
2683,60,0,4,5454,1790
10951303,123947,1945,4436,3509938,229
1046,103,61,50,13189,228
293446,17861,296,2968,512293,229
12702,511,594,456,180238,229
3054748,122778,2300,7047,7214750,224
6791515,138687,5589,8736,3933195,225
115044,7290,183,1325,816594,225
4250241,8986,1804,1847,1547238,226
95982,2573,400,459,79254,226
447993,212,44,63,124022,226
222417,22413,17903,5758,1799618,227
3972147,1415,121,62,199041,228
3882109,186188,23056,40520,9328292,222
669271,46143,1290,2915,1744302,222
14345,1782,309,1153,575364,223
63360984,4666,374,465,23932421,223
1625311,20115,1135,967,2275306,225
