video_id,publish_time,views,likes,dislikes,comment_count,new_views,views_change
eZQdQ5pV6EE,2017-11-21T13:18:50.000Z,506698.0,28537.0,441.0,4351.0,741081.0,234383.0
4L-BPQVZYXM,2017-11-21T19:52:07.000Z,1543548.0,54190.0,1296.0,5941.0,2113375.0,569827.0
6NAISxSPVSQ,2017-11-21T14:00:00.000Z,1002131.0,16443.0,598.0,811.0,4039774.0,3037643.0
G_Pu00NmJfg,2017-11-21T16:04:29.000Z,453170.0,10802.0,228.0,1087.0,1384588.0,931418.0
0dSR-9mtuzk,2017-11-22T01:30:05.000Z,557538.0,14416.0,231.0,631.0,956572.0,399034.0
80GNn_eIOhI,2017-11-21T17:00:23.000Z,734594.0,40170.0,397.0,2182.0,6195050.0,5460456.0
OPaybxgucww,2017-11-21T18:00:01.000Z,1152064.0,41379.0,920.0,1323.0,3913896.0,2761832.0
uU3kLBo_ruo,2017-11-21T15:30:02.000Z,592459.0,25680.0,1574.0,4994.0,1210601.0,618142.0
bAfn2duIlN8,2017-11-21T19:39:43.000Z,193223.0,8141.0,302.0,1226.0,300962.0,107739.0
aZdkR_WhA5Q,2017-11-20T18:01:12.000Z,1590640.0,49590.0,2019.0,1842.0,4298196.0,2707556.0
BQC09Mdn24w,2017-11-21T23:40:15.000Z,536419.0,32725.0,1575.0,3814.0,1026463.0,490044.0
EbuCLC_wVlM,2017-11-21T14:54:23.000Z,447310.0,16829.0,182.0,538.0,1605069.0,1157759.0
fbL1ZoAQgUU,2017-11-20T19:34:42.000Z,1248469.0,9536.0,397.0,2319.0,1837775.0,589306.0
VUBxPuyUD7w,2017-11-21T03:42:08.000Z,210815.0,5231.0,73.0,728.0,744294.0,533479.0
vSRAOvhFF1I,2017-11-21T19:59:24.000Z,96440.0,8775.0,113.0,413.0,138519.0,42079.0
HL3wvhv9QGg,2017-11-21T12:00:01.000Z,54392.0,470.0,19.0,44.0,300654.0,246262.0
7Bgj9c48zHU,2017-11-21T17:44:17.000Z,119519.0,13367.0,104.0,4295.0,335084.0,215565.0
i2ZHwnKVXK0,2017-11-21T18:00:06.000Z,172205.0,5474.0,91.0,366.0,1919991.0,1747786.0
A8QY1IRPGTY,2017-11-21T15:59:07.000Z,84428.0,557.0,53.0,363.0,132184.0,47756.0
y86ymJNswlE,2017-11-21T03:59:12.000Z,183369.0,11717.0,92.0,548.0,316404.0,133035.0
kKFNThEiilU,2017-11-21T02:30:47.000Z,163043.0,1456.0,396.0,621.0,169970.0,6927.0
lJM8qqEy35c,2017-11-22T02:01:28.000Z,225463.0,946.0,91.0,895.0,234770.0,9307.0
k3tWCZu42PQ,2017-11-21T18:19:47.000Z,7576.0,51.0,34.0,108.0,11118.0,3542.0
MVes87KrWvs,2017-11-20T23:15:34.000Z,210065.0,23366.0,338.0,1075.0,339251.0,129186.0
ajBJamgZ2nc,2017-11-21T09:35:00.000Z,114518.0,1721.0,43.0,141.0,213837.0,99319.0
YcCrw6d3UX4,2017-11-21T19:18:02.000Z,6183.0,56.0,29.0,54.0,6485.0,302.0
XHkAjUVoQME,2017-11-15T08:02:08.000Z,270597.0,3747.0,77.0,244.0,388076.0,117479.0
Nt4tJHp27u0,2017-11-21T06:49:17.000Z,139393.0,8735.0,181.0,1061.0,156557.0,17164.0
41kp6qN1Crg,2017-11-20T23:39:49.000Z,146487.0,2270.0,25.0,65.0,348912.0,202425.0
7COF8AhH9Z8,2017-11-21T16:16:18.000Z,30156.0,203.0,46.0,301.0,34358.0,4202.0
k-qUBZWor4I,2017-11-21T00:24:05.000Z,13016.0,18.0,8.0,52.0,13935.0,919.0
FrK2j4cPxSc,2017-11-21T21:56:06.000Z,3892.0,35.0,14.0,91.0,8043.0,4151.0
c9m52-psUmw,2016-06-02T23:05:57.000Z,9078.0,28.0,9.0,7.0,13959.0,4881.0
YRRczTwopgA,2017-11-20T16:31:23.000Z,34059.0,2183.0,375.0,622.0,50698.0,16639.0
RZU5HebzuP4,2017-11-18T17:56:32.000Z,58619.0,263.0,24.0,20.0,82525.0,23906.0
HHtfcjwHERA,2017-11-15T17:00:04.000Z,5160.0,152.0,11.0,15.0,30567.0,25407.0
EsBjHXCG4Us,2017-11-17T17:00:03.000Z,527531.0,10200.0,540.0,2197.0,876292.0,348761.0
pi0ePRY7TSc,2017-11-16T02:00:03.000Z,451381.0,3110.0,14575.0,3095.0,498919.0,47538.0
cHB_s970Uyw,2017-11-22T15:00:17.000Z,5950405.0,147608.0,5953.0,17901.0,6737373.0,786968.0
Z1rZAT2GtmI,2017-11-22T18:30:01.000Z,2366705.0,50495.0,3313.0,5179.0,4449283.0,2082578.0
OHOkdEBpwDc,2017-11-21T22:17:28.000Z,1998883.0,94430.0,2841.0,16939.0,2128592.0,129709.0
l7VfDVVxiMM,2017-11-22T12:00:02.000Z,589827.0,11839.0,1815.0,4413.0,1611552.0,1021725.0
V3EYjVPRClU,2017-11-22T16:00:02.000Z,5557499.0,161177.0,7360.0,14270.0,32666612.0,27109113.0
zYX1bgxEAhw,2017-11-22T03:30:23.000Z,1047573.0,28418.0,1186.0,0.0,1336120.0,288547.0
I8TVdFbFMg4,2017-11-22T17:17:34.000Z,930513.0,17044.0,1136.0,1586.0,984317.0,53804.0
VfAOl67WcLY,2017-11-22T18:00:02.000Z,1289314.0,39813.0,1535.0,2030.0,3063051.0,1773737.0
mewW_pRSgEc,2017-11-22T02:00:01.000Z,1558898.0,17640.0,1173.0,2935.0,1784509.0,225611.0
89PKbJ2NAqc,2017-11-22T04:47:15.000Z,1134859.0,21876.0,391.0,1067.0,16021336.0,14886477.0
I6N-XuYllgA,2017-11-22T17:00:41.000Z,2319083.0,98929.0,1251.0,4541.0,6393708.0,4074625.0
J6iyX87SBP0,2017-11-22T14:00:01.000Z,349102.0,3834.0,966.0,711.0,414713.0,65611.0
Up09AUDzLVI,2017-11-22T14:00:05.000Z,286704.0,10933.0,231.0,2386.0,578875.0,292171.0
KFaMZUarksA,2017-11-21T22:15:36.000Z,3873702.0,149246.0,2314.0,9929.0,11538319.0,7664617.0
2Nlo2ekTRvI,2017-11-21T16:07:26.000Z,2303131.0,42395.0,2237.0,6802.0,3478767.0,1175636.0
CzmIrPvIzxk,2017-11-21T18:00:01.000Z,2819213.0,54017.0,1734.0,6646.0,4340797.0,1521584.0
9efQnL-nlUg,2017-11-22T17:32:18.000Z,552694.0,15642.0,586.0,1559.0,619422.0,66728.0
5TLANg1GC7U,2017-11-22T00:27:45.000Z,3322855.0,79652.0,1543.0,7945.0,9521643.0,6198788.0
fIElFIuzGLI,2017-11-22T18:12:42.000Z,285437.0,6715.0,1042.0,1440.0,343347.0,57910.0
taxAD2LePy8,2017-11-22T04:27:52.000Z,436638.0,37923.0,485.0,3722.0,738133.0,301495.0
1dQEfL2BfUM,2017-11-22T15:00:00.000Z,279714.0,17440.0,320.0,764.0,439816.0,160102.0
CKPMAICRYuw,2017-11-22T14:00:02.000Z,554250.0,9325.0,180.0,459.0,1067813.0,513563.0
pDf5sHgvo0A,2017-11-22T02:21:28.000Z,707164.0,11709.0,1044.0,3676.0,1524623.0,817459.0
mH-Sx0lEGjA,2017-11-22T09:35:00.000Z,461918.0,14478.0,135.0,956.0,1098360.0,636442.0
TSW9cla5bmw,2017-11-22T08:35:00.000Z,142076.0,1942.0,87.0,203.0,262124.0,120048.0
puREqwXzyCI,2017-11-22T19:30:02.000Z,224381.0,12946.0,1013.0,1841.0,269835.0,45454.0
LqSkYMmyUWU,2015-10-13T08:25:49.000Z,500154.0,9613.0,173.0,1104.0,755018.0,254864.0
